text,label
"The phone case came in plain packaging, functions normally.",neutral
Great coffee maker! Fast delivery and excellent quality overall.,positive
"I hated this watch, complete waste of money.",negative
"Poor quality game, feels cheap and flimsy.",negative
"It's a standard phone case, similar to others in this price range.",neutral
"Received the game yesterday, still testing it out.",neutral
"Superb watch, worth every penny and more.",positive
"The watch works as expected, no strong feelings either way.",neutral
"This coffee maker made my day, pure joy using it every time.",positive
"This TV show is horrible, save your money and avoid it.",negative
"Terrible restaurant, broke after just two days of use.",negative
"I'm impressed by this product, the quality is outstanding.",positive
"This product matches the description, no complaints or praise.",neutral
"The TV show is fine for basic use, nothing more to add.",neutral
"I hated this app, complete waste of money.",negative
"The hotel stay is fine for basic use, nothing more to add.",neutral
"I'm impressed by this app, the quality is outstanding.",positive
"I'm furious about this laptop, customer service was no help either.",negative
"The watch came in plain packaging, functions normally.",neutral
"Worst app I have ever purchased, very disappointed.",negative
"Such a disappointing product, regret buying it.",negative
"This phone case is horrible, save your money and avoid it.",negative
"This TV show is okay, does what it says but nothing more.",neutral
"Terrible service, broke after just two days of use.",negative
"Superb headphones, worth every penny and more.",positive
"The laptop was wonderful, exactly what I was hoping for.",positive
"This backpack matches the description, no complaints or praise.",neutral
"Terrible shoes, broke after just two days of use.",negative
"Just a regular phone case, I use it occasionally.",neutral
"This watch is awful, nothing like what was advertised.",negative
"Such a disappointing game, regret buying it.",negative
"Best hotel stay I've bought in years, highly recommend to everyone.",positive
"Superb TV show, worth every penny and more.",positive
"Such an amazing coffee maker, I can't stop telling my friends about it.",positive
Great blender! Fast delivery and excellent quality overall.,positive
"I absolutely loved this restaurant, it exceeded every expectation!",positive
"This headphones made my day, pure joy using it every time.",positive
"Superb backpack, worth every penny and more.",positive
"This game is fantastic, works perfectly and looks amazing.",positive
"Such a disappointing movie, regret buying it.",negative
"It's a standard shoes, similar to others in this price range.",neutral
"This hotel stay is okay, does what it says but nothing more.",neutral
"Such an amazing headphones, I can't stop telling my friends about it.",positive
"I absolutely loved this watch, it exceeded every expectation!",positive
"I'm furious about this product, customer service was no help either.",negative
Great movie! Fast delivery and excellent quality overall.,positive
"This shoes is okay, does what it says but nothing more.",neutral
"The coffee maker came in plain packaging, functions normally.",neutral
"Such a disappointing restaurant, regret buying it.",negative
"The phone case is fine for basic use, nothing more to add.",neutral
"Such a disappointing blender, regret buying it.",negative
"The laptop works as expected, no strong feelings either way.",neutral
"An average watch, neither good nor bad in my experience.",neutral
"This service made my day, pure joy using it every time.",positive
"The coffee maker works as expected, no strong feelings either way.",neutral
"Terrible phone case, broke after just two days of use.",negative
"An average shoes, neither good nor bad in my experience.",neutral
"Terrible product, broke after just two days of use.",negative
"I'm furious about this hotel stay, customer service was no help either.",negative
"Superb hotel stay, worth every penny and more.",positive
"Received the headphones yesterday, still testing it out.",neutral
"Really happy with this camera, five stars all the way.",positive
"This restaurant is okay, does what it says but nothing more.",neutral
"Received the coffee maker yesterday, still testing it out.",neutral
"Such a disappointing hotel stay, regret buying it.",negative
"Received the service yesterday, still testing it out.",neutral
"Just a regular product, I use it occasionally.",neutral
"Just a regular service, I use it occasionally.",neutral
"An average phone case, neither good nor bad in my experience.",neutral
"I'm furious about this book, customer service was no help either.",negative
Great laptop! Fast delivery and excellent quality overall.,positive
"Such a disappointing coffee maker, regret buying it.",negative
"The camera is fine for basic use, nothing more to add.",neutral
"Received the backpack yesterday, still testing it out.",neutral
"Received the game yesterday, still testing it out.",neutral
"The phone case was wonderful, exactly what I was hoping for.",positive
"The book is fine for basic use, nothing more to add.",neutral
"Best shoes I've bought in years, highly recommend to everyone.",positive
"Such an amazing backpack, I can't stop telling my friends about it.",positive
"This hotel stay matches the description, no complaints or praise.",neutral
"It's a standard laptop, similar to others in this price range.",neutral
"Really happy with this watch, five stars all the way.",positive
"Received the watch yesterday, still testing it out.",neutral
"An average product, neither good nor bad in my experience.",neutral
"Such a disappointing restaurant, regret buying it.",negative
"Terrible product, broke after just two days of use.",negative
"The service stopped working almost immediately, so frustrating.",negative
"The app came in plain packaging, functions normally.",neutral
"It's a standard shoes, similar to others in this price range.",neutral
"This blender is awful, nothing like what was advertised.",negative
"This camera is okay, does what it says but nothing more.",neutral
"Just a regular movie, I use it occasionally.",neutral
"The TV show was wonderful, exactly what I was hoping for.",positive
"This phone case is awful, nothing like what was advertised.",negative
"The game works as expected, no strong feelings either way.",neutral
"Best TV show I've bought in years, highly recommend to everyone.",positive
"I'm furious about this laptop, customer service was no help either.",negative
"This watch is horrible, save your money and avoid it.",negative
"Such a disappointing TV show, regret buying it.",negative
"I absolutely loved this app, it exceeded every expectation!",positive
"The backpack works as expected, no strong feelings either way.",neutral
"The TV show stopped working almost immediately, so frustrating.",negative
"An average restaurant, neither good nor bad in my experience.",neutral
"This app is horrible, save your money and avoid it.",negative
"The laptop works as expected, no strong feelings either way.",neutral
"This restaurant is fantastic, works perfectly and looks amazing.",positive
"This coffee maker is horrible, save your money and avoid it.",negative
"This TV show is fantastic, works perfectly and looks amazing.",positive
"The backpack arrived on time, nothing special to report.",neutral
"An average movie, neither good nor bad in my experience.",neutral
"This watch is horrible, save your money and avoid it.",negative
"This headphones is fantastic, works perfectly and looks amazing.",positive
"Such a disappointing book, regret buying it.",negative
"The coffee maker is fine for basic use, nothing more to add.",neutral
"Superb backpack, worth every penny and more.",positive
"It's a standard book, similar to others in this price range.",neutral
"Worst phone case I have ever purchased, very disappointed.",negative
"Such an amazing coffee maker, I can't stop telling my friends about it.",positive
"Poor quality restaurant, feels cheap and flimsy.",negative
"Best watch I've bought in years, highly recommend to everyone.",positive
"The headphones arrived on time, nothing special to report.",neutral
"This restaurant is horrible, save your money and avoid it.",negative
"This camera made my day, pure joy using it every time.",positive
"The camera came in plain packaging, functions normally.",neutral
"This restaurant is okay, does what it says but nothing more.",neutral
"Worst app I have ever purchased, very disappointed.",negative
"Really bad experience with this coffee maker, would not recommend.",negative
"I'm impressed by this shoes, the quality is outstanding.",positive
"Really bad experience with this restaurant, would not recommend.",negative
"I'm furious about this app, customer service was no help either.",negative
"The blender was wonderful, exactly what I was hoping for.",positive
"I hated this laptop, complete waste of money.",negative
"This movie matches the description, no complaints or praise.",neutral
"It's a standard hotel stay, similar to others in this price range.",neutral
"It's a standard TV show, similar to others in this price range.",neutral
"Poor quality shoes, feels cheap and flimsy.",negative
"This hotel stay is okay, does what it says but nothing more.",neutral
"The hotel stay came in plain packaging, functions normally.",neutral
"I'm impressed by this TV show, the quality is outstanding.",positive
"The watch arrived on time, nothing special to report.",neutral
"I absolutely loved this movie, it exceeded every expectation!",positive
"This app is fantastic, works perfectly and looks amazing.",positive
"The backpack arrived on time, nothing special to report.",neutral
"This headphones matches the description, no complaints or praise.",neutral
"This camera is awful, nothing like what was advertised.",negative
"I'm impressed by this service, the quality is outstanding.",positive
"Superb hotel stay, worth every penny and more.",positive
"The watch was wonderful, exactly what I was hoping for.",positive
"Worst blender I have ever purchased, very disappointed.",negative
"This hotel stay is fantastic, works perfectly and looks amazing.",positive
"Really bad experience with this product, would not recommend.",negative
"It's a standard blender, similar to others in this price range.",neutral
"The laptop works as expected, no strong feelings either way.",neutral
"Such a disappointing service, regret buying it.",negative
"This phone case is fantastic, works perfectly and looks amazing.",positive
"I hated this camera, complete waste of money.",negative
"An average camera, neither good nor bad in my experience.",neutral
"It's a standard hotel stay, similar to others in this price range.",neutral
"This phone case made my day, pure joy using it every time.",positive
"This coffee maker is awful, nothing like what was advertised.",negative
"This phone case is awful, nothing like what was advertised.",negative
"The game is fine for basic use, nothing more to add.",neutral
"This phone case matches the description, no complaints or praise.",neutral
"The backpack came in plain packaging, functions normally.",neutral
"Such a disappointing game, regret buying it.",negative
"This coffee maker is fantastic, works perfectly and looks amazing.",positive
"This product is fantastic, works perfectly and looks amazing.",positive
"Received the phone case yesterday, still testing it out.",neutral
"Such a disappointing watch, regret buying it.",negative
"Superb phone case, worth every penny and more.",positive
"This restaurant is awful, nothing like what was advertised.",negative
"Poor quality laptop, feels cheap and flimsy.",negative
"This restaurant is okay, does what it says but nothing more.",neutral
"Best hotel stay I've bought in years, highly recommend to everyone.",positive
"I absolutely loved this blender, it exceeded every expectation!",positive
"The phone case came in plain packaging, functions normally.",neutral
"This backpack is fantastic, works perfectly and looks amazing.",positive
"The coffee maker arrived on time, nothing special to report.",neutral
"The phone case works as expected, no strong feelings either way.",neutral
"Superb backpack, worth every penny and more.",positive
"I hated this app, complete waste of money.",negative
"An average movie, neither good nor bad in my experience.",neutral
"Best headphones I've bought in years, highly recommend to everyone.",positive
"I hated this shoes, complete waste of money.",negative
"The service works as expected, no strong feelings either way.",neutral
"This restaurant is horrible, save your money and avoid it.",negative
"It's a standard book, similar to others in this price range.",neutral
"I'm impressed by this laptop, the quality is outstanding.",positive
"Received the app yesterday, still testing it out.",neutral
Great blender! Fast delivery and excellent quality overall.,positive
"Such a disappointing app, regret buying it.",negative
"The backpack came in plain packaging, functions normally.",neutral
"I'm furious about this service, customer service was no help either.",negative
"Just a regular phone case, I use it occasionally.",neutral
"Worst watch I have ever purchased, very disappointed.",negative
"This backpack made my day, pure joy using it every time.",positive
"I'm impressed by this app, the quality is outstanding.",positive
"The camera arrived on time, nothing special to report.",neutral
"Such an amazing TV show, I can't stop telling my friends about it.",positive
"Really happy with this watch, five stars all the way.",positive
"Received the movie yesterday, still testing it out.",neutral
"This book made my day, pure joy using it every time.",positive
"Worst laptop I have ever purchased, very disappointed.",negative
"Worst camera I have ever purchased, very disappointed.",negative
"Worst movie I have ever purchased, very disappointed.",negative
"The laptop was wonderful, exactly what I was hoping for.",positive
"Terrible backpack, broke after just two days of use.",negative
"This laptop matches the description, no complaints or praise.",neutral
"Really bad experience with this shoes, would not recommend.",negative
"Really happy with this phone case, five stars all the way.",positive
"The book is fine for basic use, nothing more to add.",neutral
"Such a disappointing app, regret buying it.",negative
"Such an amazing watch, I can't stop telling my friends about it.",positive
"I'm furious about this watch, customer service was no help either.",negative
"This service is okay, does what it says but nothing more.",neutral
"The product was wonderful, exactly what I was hoping for.",positive
"The service was wonderful, exactly what I was hoping for.",positive
"This blender is okay, does what it says but nothing more.",neutral
"I'm furious about this headphones, customer service was no help either.",negative
"The TV show arrived on time, nothing special to report.",neutral
"The phone case came in plain packaging, functions normally.",neutral
"This game is okay, does what it says but nothing more.",neutral
"Really happy with this TV show, five stars all the way.",positive
"The headphones stopped working almost immediately, so frustrating.",negative
"Terrible camera, broke after just two days of use.",negative
"I'm furious about this service, customer service was no help either.",negative
"The phone case works as expected, no strong feelings either way.",neutral
"I'm furious about this camera, customer service was no help either.",negative
"I'm impressed by this service, the quality is outstanding.",positive
"It's a standard movie, similar to others in this price range.",neutral
"Terrible game, broke after just two days of use.",negative
"I'm impressed by this game, the quality is outstanding.",positive
"It's a standard book, similar to others in this price range.",neutral
"This camera is fantastic, works perfectly and looks amazing.",positive
"This movie matches the description, no complaints or praise.",neutral
"This blender is okay, does what it says but nothing more.",neutral
"It's a standard hotel stay, similar to others in this price range.",neutral
"I'm impressed by this watch, the quality is outstanding.",positive
"An average hotel stay, neither good nor bad in my experience.",neutral
"I'm furious about this game, customer service was no help either.",negative
"Best camera I've bought in years, highly recommend to everyone.",positive
"Such a disappointing laptop, regret buying it.",negative
"Really bad experience with this watch, would not recommend.",negative
"The app came in plain packaging, functions normally.",neutral
"The service came in plain packaging, functions normally.",neutral
"This product matches the description, no complaints or praise.",neutral
"Terrible game, broke after just two days of use.",negative
"Terrible TV show, broke after just two days of use.",negative
"I hated this book, complete waste of money.",negative
"The watch was wonderful, exactly what I was hoping for.",positive
"The restaurant was wonderful, exactly what I was hoping for.",positive
"The backpack arrived on time, nothing special to report.",neutral
"Just a regular game, I use it occasionally.",neutral
"Best TV show I've bought in years, highly recommend to everyone.",positive
"The backpack is fine for basic use, nothing more to add.",neutral
"I absolutely loved this watch, it exceeded every expectation!",positive
"This camera is awful, nothing like what was advertised.",negative
"This restaurant is okay, does what it says but nothing more.",neutral
"The shoes is fine for basic use, nothing more to add.",neutral
"This blender is fantastic, works perfectly and looks amazing.",positive
"This shoes is horrible, save your money and avoid it.",negative
"The backpack arrived on time, nothing special to report.",neutral
"The app arrived on time, nothing special to report.",neutral
"Really bad experience with this TV show, would not recommend.",negative
"The backpack works as expected, no strong feelings either way.",neutral
"Really bad experience with this coffee maker, would not recommend.",negative
"Such an amazing phone case, I can't stop telling my friends about it.",positive
"It's a standard book, similar to others in this price range.",neutral
"I absolutely loved this app, it exceeded every expectation!",positive
"Just a regular book, I use it occasionally.",neutral
"I absolutely loved this product, it exceeded every expectation!",positive
"Poor quality watch, feels cheap and flimsy.",negative
"Poor quality watch, feels cheap and flimsy.",negative
"The phone case came in plain packaging, functions normally.",neutral
"Superb headphones, worth every penny and more.",positive
Great book! Fast delivery and excellent quality overall.,positive
"Poor quality service, feels cheap and flimsy.",negative
"The movie is fine for basic use, nothing more to add.",neutral
"This product matches the description, no complaints or praise.",neutral
"The blender was wonderful, exactly what I was hoping for.",positive
"Really happy with this camera, five stars all the way.",positive
"The game is fine for basic use, nothing more to add.",neutral
"This watch is awful, nothing like what was advertised.",negative
"This phone case matches the description, no complaints or praise.",neutral
"I'm furious about this app, customer service was no help either.",negative
"The camera was wonderful, exactly what I was hoping for.",positive
"Superb service, worth every penny and more.",positive
"Superb shoes, worth every penny and more.",positive
"This product is okay, does what it says but nothing more.",neutral
Great movie! Fast delivery and excellent quality overall.,positive
"I'm impressed by this product, the quality is outstanding.",positive
"The blender was wonderful, exactly what I was hoping for.",positive
"Such a disappointing TV show, regret buying it.",negative
"Just a regular shoes, I use it occasionally.",neutral
"Terrible book, broke after just two days of use.",negative
"The backpack stopped working almost immediately, so frustrating.",negative
"This laptop matches the description, no complaints or praise.",neutral
"This blender made my day, pure joy using it every time.",positive
"The blender was wonderful, exactly what I was hoping for.",positive
"Just a regular blender, I use it occasionally.",neutral
"The backpack came in plain packaging, functions normally.",neutral
"I absolutely loved this camera, it exceeded every expectation!",positive
"I'm furious about this laptop, customer service was no help either.",negative
"Terrible camera, broke after just two days of use.",negative
"Just a regular movie, I use it occasionally.",neutral
"Just a regular service, I use it occasionally.",neutral
"Worst backpack I have ever purchased, very disappointed.",negative
"This movie is fantastic, works perfectly and looks amazing.",positive
"This shoes is horrible, save your money and avoid it.",negative
"This TV show made my day, pure joy using it every time.",positive
"Superb camera, worth every penny and more.",positive
"The coffee maker is fine for basic use, nothing more to add.",neutral
"Such a disappointing camera, regret buying it.",negative
"An average hotel stay, neither good nor bad in my experience.",neutral
"An average backpack, neither good nor bad in my experience.",neutral
"This restaurant is okay, does what it says but nothing more.",neutral
"Such a disappointing camera, regret buying it.",negative
"The TV show is fine for basic use, nothing more to add.",neutral
"Poor quality service, feels cheap and flimsy.",negative
"This laptop is fantastic, works perfectly and looks amazing.",positive
"This restaurant is fantastic, works perfectly and looks amazing.",positive
"An average phone case, neither good nor bad in my experience.",neutral
"I'm furious about this game, customer service was no help either.",negative
"I'm furious about this backpack, customer service was no help either.",negative
"Worst game I have ever purchased, very disappointed.",negative
"I absolutely loved this movie, it exceeded every expectation!",positive
"I absolutely loved this book, it exceeded every expectation!",positive
"Worst backpack I have ever purchased, very disappointed.",negative
"The restaurant was wonderful, exactly what I was hoping for.",positive
"Terrible TV show, broke after just two days of use.",negative
"Just a regular TV show, I use it occasionally.",neutral
"This blender is fantastic, works perfectly and looks amazing.",positive
"The app is fine for basic use, nothing more to add.",neutral
Great book! Fast delivery and excellent quality overall.,positive
"This blender matches the description, no complaints or praise.",neutral
"The book is fine for basic use, nothing more to add.",neutral
"Worst coffee maker I have ever purchased, very disappointed.",negative
"Best movie I've bought in years, highly recommend to everyone.",positive
"This coffee maker is horrible, save your money and avoid it.",negative
"This phone case made my day, pure joy using it every time.",positive
Great phone case! Fast delivery and excellent quality overall.,positive
"Received the hotel stay yesterday, still testing it out.",neutral
"The shoes was wonderful, exactly what I was hoping for.",positive
"Such a disappointing shoes, regret buying it.",negative
"Terrible TV show, broke after just two days of use.",negative
"It's a standard service, similar to others in this price range.",neutral
"The phone case stopped working almost immediately, so frustrating.",negative
"This restaurant is awful, nothing like what was advertised.",negative
"Poor quality game, feels cheap and flimsy.",negative
"Such a disappointing product, regret buying it.",negative
"The hotel stay was wonderful, exactly what I was hoping for.",positive
Great backpack! Fast delivery and excellent quality overall.,positive
"It's a standard shoes, similar to others in this price range.",neutral
"This TV show is awful, nothing like what was advertised.",negative
"Just a regular shoes, I use it occasionally.",neutral
"This coffee maker matches the description, no complaints or praise.",neutral
"The phone case arrived on time, nothing special to report.",neutral
"This shoes is fantastic, works perfectly and looks amazing.",positive
"Really bad experience with this restaurant, would not recommend.",negative
"It's a standard headphones, similar to others in this price range.",neutral
"An average book, neither good nor bad in my experience.",neutral
"The headphones works as expected, no strong feelings either way.",neutral
"Really happy with this TV show, five stars all the way.",positive
"The watch arrived on time, nothing special to report.",neutral
"Really bad experience with this backpack, would not recommend.",negative
"Really happy with this headphones, five stars all the way.",positive
"This camera is horrible, save your money and avoid it.",negative
"This TV show is horrible, save your money and avoid it.",negative
"Just a regular app, I use it occasionally.",neutral
"Poor quality blender, feels cheap and flimsy.",negative
"Best camera I've bought in years, highly recommend to everyone.",positive
"I'm impressed by this shoes, the quality is outstanding.",positive
"It's a standard phone case, similar to others in this price range.",neutral
"This backpack is horrible, save your money and avoid it.",negative
"Superb restaurant, worth every penny and more.",positive
