text,label
"Really happy with this service, five stars all the way.",positive
"The blender stopped working almost immediately, so frustrating.",negative
"Terrible TV show, broke after just two days of use.",negative
"The coffee maker was wonderful, exactly what I was hoping for.",positive
"The restaurant is fine for basic use, nothing more to add.",neutral
"This watch is awful, nothing like what was advertised.",negative
"Terrible coffee maker, broke after just two days of use.",negative
"Really happy with this book, five stars all the way.",positive
Great laptop! Fast delivery and excellent quality overall.,positive
"Poor quality camera, feels cheap and flimsy.",negative
"It's a standard product, similar to others in this price range.",neutral
"The movie stopped working almost immediately, so frustrating.",negative
"I hated this app, complete waste of money.",negative
"This hotel stay is awful, nothing like what was advertised.",negative
Great book! Fast delivery and excellent quality overall.,positive
"This camera is horrible, save your money and avoid it.",negative
"This TV show made my day, pure joy using it every time.",positive
"The laptop is fine for basic use, nothing more to add.",neutral
"Superb game, worth every penny and more.",positive
"This service is horrible, save your money and avoid it.",negative
"Really bad experience with this shoes, would not recommend.",negative
"The blender stopped working almost immediately, so frustrating.",negative
"Just a regular TV show, I use it occasionally.",neutral
"I'm impressed by this camera, the quality is outstanding.",positive
"The phone case works as expected, no strong feelings either way.",neutral
"Worst TV show I have ever purchased, very disappointed.",negative
"I'm impressed by this TV show, the quality is outstanding.",positive
"This backpack is horrible, save your money and avoid it.",negative
"An average laptop, neither good nor bad in my experience.",neutral
"Really happy with this headphones, five stars all the way.",positive
"Terrible movie, broke after just two days of use.",negative
"I absolutely loved this coffee maker, it exceeded every expectation!",positive
"Really happy with this game, five stars all the way.",positive
"The restaurant is fine for basic use, nothing more to add.",neutral
"The restaurant is fine for basic use, nothing more to add.",neutral
"Received the blender yesterday, still testing it out.",neutral
"Just a regular shoes, I use it occasionally.",neutral
"Just a regular laptop, I use it occasionally.",neutral
"The shoes is fine for basic use, nothing more to add.",neutral
"An average headphones, neither good nor bad in my experience.",neutral
"The headphones was wonderful, exactly what I was hoping for.",positive
"The restaurant is fine for basic use, nothing more to add.",neutral
"Such an amazing laptop, I can't stop telling my friends about it.",positive
"Poor quality backpack, feels cheap and flimsy.",negative
"This camera is okay, does what it says but nothing more.",neutral
"The TV show came in plain packaging, functions normally.",neutral
"Terrible blender, broke after just two days of use.",negative
"I absolutely loved this TV show, it exceeded every expectation!",positive
"The phone case came in plain packaging, functions normally.",neutral
"Worst blender I have ever purchased, very disappointed.",negative
"This book is okay, does what it says but nothing more.",neutral
"This backpack is horrible, save your money and avoid it.",negative
"Worst backpack I have ever purchased, very disappointed.",negative
"Terrible service, broke after just two days of use.",negative
"Superb movie, worth every penny and more.",positive
"This watch is awful, nothing like what was advertised.",negative
"This movie is fantastic, works perfectly and looks amazing.",positive
"I'm furious about this blender, customer service was no help either.",negative
"This movie is okay, does what it says but nothing more.",neutral
"This TV show is fantastic, works perfectly and looks amazing.",positive
"Superb movie, worth every penny and more.",positive
"This headphones is okay, does what it says but nothing more.",neutral
"This coffee maker is okay, does what it says but nothing more.",neutral
"Terrible headphones, broke after just two days of use.",negative
"The backpack arrived on time, nothing special to report.",neutral
"The hotel stay was wonderful, exactly what I was hoping for.",positive
Great camera! Fast delivery and excellent quality overall.,positive
"This service matches the description, no complaints or praise.",neutral
"I absolutely loved this book, it exceeded every expectation!",positive
"Superb hotel stay, worth every penny and more.",positive
"This book is awful, nothing like what was advertised.",negative
"Best app I've bought in years, highly recommend to everyone.",positive
"The laptop is fine for basic use, nothing more to add.",neutral
"The restaurant came in plain packaging, functions normally.",neutral
"I'm impressed by this movie, the quality is outstanding.",positive
"The movie arrived on time, nothing special to report.",neutral
"Best phone case I've bought in years, highly recommend to everyone.",positive
"The app stopped working almost immediately, so frustrating.",negative
Great service! Fast delivery and excellent quality overall.,positive
"I'm impressed by this blender, the quality is outstanding.",positive
"The book was wonderful, exactly what I was hoping for.",positive
"The product stopped working almost immediately, so frustrating.",negative
"I absolutely loved this laptop, it exceeded every expectation!",positive
"I'm impressed by this backpack, the quality is outstanding.",positive
"This hotel stay is horrible, save your money and avoid it.",negative
"The service was wonderful, exactly what I was hoping for.",positive
"This shoes matches the description, no complaints or praise.",neutral
"This book matches the description, no complaints or praise.",neutral
"The headphones is fine for basic use, nothing more to add.",neutral
"Just a regular camera, I use it occasionally.",neutral
"It's a standard watch, similar to others in this price range.",neutral
"Really bad experience with this app, would not recommend.",negative
"Poor quality backpack, feels cheap and flimsy.",negative
"Worst restaurant I have ever purchased, very disappointed.",negative
"The book stopped working almost immediately, so frustrating.",negative
"I'm impressed by this blender, the quality is outstanding.",positive
"Superb headphones, worth every penny and more.",positive
"The restaurant came in plain packaging, functions normally.",neutral
"Really bad experience with this laptop, would not recommend.",negative
"Really bad experience with this game, would not recommend.",negative
"The app stopped working almost immediately, so frustrating.",negative
"This TV show matches the description, no complaints or praise.",neutral
"The product stopped working almost immediately, so frustrating.",negative
"Poor quality laptop, feels cheap and flimsy.",negative
"Really bad experience with this coffee maker, would not recommend.",negative
"Received the coffee maker yesterday, still testing it out.",neutral
"The headphones came in plain packaging, functions normally.",neutral
"I'm impressed by this book, the quality is outstanding.",positive
"This app matches the description, no complaints or praise.",neutral
Great service! Fast delivery and excellent quality overall.,positive
"Really bad experience with this TV show, would not recommend.",negative
"The movie works as expected, no strong feelings either way.",neutral
"I'm furious about this book, customer service was no help either.",negative
"Terrible backpack, broke after just two days of use.",negative
"This service made my day, pure joy using it every time.",positive
"Really bad experience with this product, would not recommend.",negative
"Such an amazing camera, I can't stop telling my friends about it.",positive
"Superb camera, worth every penny and more.",positive
"This service made my day, pure joy using it every time.",positive
"I absolutely loved this hotel stay, it exceeded every expectation!",positive
"Superb product, worth every penny and more.",positive
"I absolutely loved this hotel stay, it exceeded every expectation!",positive
"I absolutely loved this phone case, it exceeded every expectation!",positive
"I hated this backpack, complete waste of money.",negative
"The shoes works as expected, no strong feelings either way.",neutral
"The app works as expected, no strong feelings either way.",neutral
"The game is fine for basic use, nothing more to add.",neutral
"This app is awful, nothing like what was advertised.",negative
"Really happy with this laptop, five stars all the way.",positive
"The laptop arrived on time, nothing special to report.",neutral
"The watch arrived on time, nothing special to report.",neutral
"This restaurant is horrible, save your money and avoid it.",negative
"This camera is fantastic, works perfectly and looks amazing.",positive
"Poor quality camera, feels cheap and flimsy.",negative
"I'm furious about this coffee maker, customer service was no help either.",negative
"This backpack matches the description, no complaints or praise.",neutral
"This game is awful, nothing like what was advertised.",negative
"I'm furious about this watch, customer service was no help either.",negative
"Just a regular service, I use it occasionally.",neutral
"The movie arrived on time, nothing special to report.",neutral
"An average restaurant, neither good nor bad in my experience.",neutral
"The TV show stopped working almost immediately, so frustrating.",negative
"Terrible watch, broke after just two days of use.",negative
Great movie! Fast delivery and excellent quality overall.,positive
"I'm impressed by this coffee maker, the quality is outstanding.",positive
"Just a regular camera, I use it occasionally.",neutral
"This TV show is awful, nothing like what was advertised.",negative
"This hotel stay matches the description, no complaints or praise.",neutral
"Received the shoes yesterday, still testing it out.",neutral
"I'm impressed by this headphones, the quality is outstanding.",positive
"It's a standard book, similar to others in this price range.",neutral
"This backpack is awful, nothing like what was advertised.",negative
"Really happy with this coffee maker, five stars all the way.",positive
"Really bad experience with this phone case, would not recommend.",negative
"This phone case is horrible, save your money and avoid it.",negative
"Really happy with this headphones, five stars all the way.",positive
"I'm furious about this watch, customer service was no help either.",negative
"Best backpack I've bought in years, highly recommend to everyone.",positive
"Best app I've bought in years, highly recommend to everyone.",positive
"Really happy with this book, five stars all the way.",positive
"An average book, neither good nor bad in my experience.",neutral
"Superb backpack, worth every penny and more.",positive
"This camera is okay, does what it says but nothing more.",neutral
Great app! Fast delivery and excellent quality overall.,positive
"The hotel stay came in plain packaging, functions normally.",neutral
"Really bad experience with this game, would not recommend.",negative
"I hated this coffee maker, complete waste of money.",negative
"Superb movie, worth every penny and more.",positive
"I'm impressed by this app, the quality is outstanding.",positive
"Poor quality app, feels cheap and flimsy.",negative
"This movie is horrible, save your money and avoid it.",negative
"I absolutely loved this shoes, it exceeded every expectation!",positive
"Superb game, worth every penny and more.",positive
"The movie came in plain packaging, functions normally.",neutral
"This restaurant matches the description, no complaints or praise.",neutral
"Worst shoes I have ever purchased, very disappointed.",negative
"Just a regular movie, I use it occasionally.",neutral
Great phone case! Fast delivery and excellent quality overall.,positive
"This book matches the description, no complaints or praise.",neutral
"Really bad experience with this blender, would not recommend.",negative
"Just a regular headphones, I use it occasionally.",neutral
"Best watch I've bought in years, highly recommend to everyone.",positive
"I hated this restaurant, complete waste of money.",negative
"Really happy with this game, five stars all the way.",positive
"This game made my day, pure joy using it every time.",positive
"I hated this laptop, complete waste of money.",negative
"Just a regular blender, I use it occasionally.",neutral
"I'm impressed by this backpack, the quality is outstanding.",positive
"Best restaurant I've bought in years, highly recommend to everyone.",positive
Great hotel stay! Fast delivery and excellent quality overall.,positive
"It's a standard coffee maker, similar to others in this price range.",neutral
"Really bad experience with this movie, would not recommend.",negative
"I'm impressed by this product, the quality is outstanding.",positive
"Such an amazing blender, I can't stop telling my friends about it.",positive
"Worst watch I have ever purchased, very disappointed.",negative
"Really happy with this blender, five stars all the way.",positive
"Superb blender, worth every penny and more.",positive
"This game is okay, does what it says but nothing more.",neutral
"Really happy with this TV show, five stars all the way.",positive
"An average backpack, neither good nor bad in my experience.",neutral
"Really happy with this restaurant, five stars all the way.",positive
"This laptop is okay, does what it says but nothing more.",neutral
"Such an amazing laptop, I can't stop telling my friends about it.",positive
"Such a disappointing camera, regret buying it.",negative
"This restaurant is awful, nothing like what was advertised.",negative
"I hated this watch, complete waste of money.",negative
"Terrible shoes, broke after just two days of use.",negative
"Really bad experience with this blender, would not recommend.",negative
"It's a standard service, similar to others in this price range.",neutral
"The blender works as expected, no strong feelings either way.",neutral
"This headphones matches the description, no complaints or praise.",neutral
"It's a standard restaurant, similar to others in this price range.",neutral
"I hated this laptop, complete waste of money.",negative
"This service is horrible, save your money and avoid it.",negative
"Superb book, worth every penny and more.",positive
"Superb coffee maker, worth every penny and more.",positive
"Such a disappointing product, regret buying it.",negative
"Best camera I've bought in years, highly recommend to everyone.",positive
"Received the service yesterday, still testing it out.",neutral
"This headphones is fantastic, works perfectly and looks amazing.",positive
"I hated this product, complete waste of money.",negative
"Really bad experience with this product, would not recommend.",negative
"It's a standard camera, similar to others in this price range.",neutral
"I hated this service, complete waste of money.",negative
"This TV show made my day, pure joy using it every time.",positive
"Received the hotel stay yesterday, still testing it out.",neutral
"The TV show was wonderful, exactly what I was hoping for.",positive
"This phone case is horrible, save your money and avoid it.",negative
"Really happy with this camera, five stars all the way.",positive
"I hated this coffee maker, complete waste of money.",negative
"Really bad experience with this backpack, would not recommend.",negative
"Such a disappointing app, regret buying it.",negative
"It's a standard restaurant, similar to others in this price range.",neutral
"Really happy with this shoes, five stars all the way.",positive
"The app is fine for basic use, nothing more to add.",neutral
"This app is okay, does what it says but nothing more.",neutral
"Superb service, worth every penny and more.",positive
"It's a standard blender, similar to others in this price range.",neutral
"This camera is fantastic, works perfectly and looks amazing.",positive
"Worst shoes I have ever purchased, very disappointed.",negative
"Just a regular laptop, I use it occasionally.",neutral
"The restaurant arrived on time, nothing special to report.",neutral
"The watch came in plain packaging, functions normally.",neutral
"This hotel stay made my day, pure joy using it every time.",positive
"This backpack is horrible, save your money and avoid it.",negative
"Terrible TV show, broke after just two days of use.",negative
"This book is awful, nothing like what was advertised.",negative
"Really bad experience with this headphones, would not recommend.",negative
"Received the shoes yesterday, still testing it out.",neutral
"This restaurant is okay, does what it says but nothing more.",neutral
"Really bad experience with this backpack, would not recommend.",negative
"This game is okay, does what it says but nothing more.",neutral
"Really bad experience with this blender, would not recommend.",negative
"This laptop is horrible, save your money and avoid it.",negative
"This camera made my day, pure joy using it every time.",positive
"Superb service, worth every penny and more.",positive
"I'm impressed by this book, the quality is outstanding.",positive
"The phone case came in plain packaging, functions normally.",neutral
"I'm impressed by this shoes, the quality is outstanding.",positive
"Really bad experience with this game, would not recommend.",negative
"Poor quality laptop, feels cheap and flimsy.",negative
"An average TV show, neither good nor bad in my experience.",neutral
"The TV show came in plain packaging, functions normally.",neutral
"The TV show came in plain packaging, functions normally.",neutral
"The camera arrived on time, nothing special to report.",neutral
"This blender is fantastic, works perfectly and looks amazing.",positive
"I absolutely loved this shoes, it exceeded every expectation!",positive
"This headphones matches the description, no complaints or praise.",neutral
"This TV show is fantastic, works perfectly and looks amazing.",positive
"I absolutely loved this phone case, it exceeded every expectation!",positive
"Really happy with this restaurant, five stars all the way.",positive
"I'm furious about this movie, customer service was no help either.",negative
"Terrible service, broke after just two days of use.",negative
"This watch is awful, nothing like what was advertised.",negative
"I'm impressed by this game, the quality is outstanding.",positive
"I'm impressed by this phone case, the quality is outstanding.",positive
"This product is okay, does what it says but nothing more.",neutral
"Really happy with this hotel stay, five stars all the way.",positive
"This movie matches the description, no complaints or praise.",neutral
"It's a standard TV show, similar to others in this price range.",neutral
"This hotel stay is fantastic, works perfectly and looks amazing.",positive
"Such a disappointing service, regret buying it.",negative
"Terrible camera, broke after just two days of use.",negative
"Just a regular headphones, I use it occasionally.",neutral
"Really happy with this hotel stay, five stars all the way.",positive
"The restaurant stopped working almost immediately, so frustrating.",negative
"Best backpack I've bought in years, highly recommend to everyone.",positive
"Really bad experience with this watch, would not recommend.",negative
"This shoes is awful, nothing like what was advertised.",negative
"This coffee maker made my day, pure joy using it every time.",positive
"The coffee maker stopped working almost immediately, so frustrating.",negative
"Poor quality TV show, feels cheap and flimsy.",negative
"This coffee maker is horrible, save your money and avoid it.",negative
"An average restaurant, neither good nor bad in my experience.",neutral
"The book is fine for basic use, nothing more to add.",neutral
"An average restaurant, neither good nor bad in my experience.",neutral
"I'm impressed by this hotel stay, the quality is outstanding.",positive
"The service works as expected, no strong feelings either way.",neutral
Great service! Fast delivery and excellent quality overall.,positive
"It's a standard watch, similar to others in this price range.",neutral
"This shoes is fantastic, works perfectly and looks amazing.",positive
"An average laptop, neither good nor bad in my experience.",neutral
"The game came in plain packaging, functions normally.",neutral
"This blender is fantastic, works perfectly and looks amazing.",positive
"Really bad experience with this TV show, would not recommend.",negative
"An average phone case, neither good nor bad in my experience.",neutral
"This app is awful, nothing like what was advertised.",negative
"Terrible hotel stay, broke after just two days of use.",negative
Great movie! Fast delivery and excellent quality overall.,positive
"This laptop is okay, does what it says but nothing more.",neutral
"Really bad experience with this laptop, would not recommend.",negative
"This shoes is awful, nothing like what was advertised.",negative
"The shoes stopped working almost immediately, so frustrating.",negative
"Really bad experience with this product, would not recommend.",negative
"I hated this movie, complete waste of money.",negative
Great movie! Fast delivery and excellent quality overall.,positive
"This movie is awful, nothing like what was advertised.",negative
"This restaurant is fantastic, works perfectly and looks amazing.",positive
"This restaurant is fantastic, works perfectly and looks amazing.",positive
Great game! Fast delivery and excellent quality overall.,positive
"Terrible camera, broke after just two days of use.",negative
"I hated this app, complete waste of money.",negative
"Superb blender, worth every penny and more.",positive
"Such an amazing product, I can't stop telling my friends about it.",positive
"The laptop was wonderful, exactly what I was hoping for.",positive
Great book! Fast delivery and excellent quality overall.,positive
"Such a disappointing movie, regret buying it.",negative
"This camera is okay, does what it says but nothing more.",neutral
"The service stopped working almost immediately, so frustrating.",negative
"Poor quality coffee maker, feels cheap and flimsy.",negative
"Such an amazing phone case, I can't stop telling my friends about it.",positive
"Best TV show I've bought in years, highly recommend to everyone.",positive
Great restaurant! Fast delivery and excellent quality overall.,positive
"This backpack is okay, does what it says but nothing more.",neutral
"I hated this game, complete waste of money.",negative
"It's a standard app, similar to others in this price range.",neutral
"I'm impressed by this shoes, the quality is outstanding.",positive
"The coffee maker was wonderful, exactly what I was hoping for.",positive
"Such a disappointing TV show, regret buying it.",negative
"I absolutely loved this service, it exceeded every expectation!",positive
"I'm impressed by this restaurant, the quality is outstanding.",positive
"Poor quality laptop, feels cheap and flimsy.",negative
"Best game I've bought in years, highly recommend to everyone.",positive
"The coffee maker came in plain packaging, functions normally.",neutral
"This product is fantastic, works perfectly and looks amazing.",positive
"I absolutely loved this app, it exceeded every expectation!",positive
"I'm furious about this book, customer service was no help either.",negative
"This restaurant is fantastic, works perfectly and looks amazing.",positive
"I'm furious about this headphones, customer service was no help either.",negative
"The backpack was wonderful, exactly what I was hoping for.",positive
"The book works as expected, no strong feelings either way.",neutral
"Really bad experience with this phone case, would not recommend.",negative
"An average restaurant, neither good nor bad in my experience.",neutral
"An average product, neither good nor bad in my experience.",neutral
"I'm furious about this product, customer service was no help either.",negative
"This restaurant is okay, does what it says but nothing more.",neutral
"Worst headphones I have ever purchased, very disappointed.",negative
"Worst game I have ever purchased, very disappointed.",negative
"I absolutely loved this book, it exceeded every expectation!",positive
"I'm impressed by this laptop, the quality is outstanding.",positive
"This service is fantastic, works perfectly and looks amazing.",positive
Great watch! Fast delivery and excellent quality overall.,positive
"This backpack is okay, does what it says but nothing more.",neutral
"The product was wonderful, exactly what I was hoping for.",positive
"Poor quality camera, feels cheap and flimsy.",negative
"Worst watch I have ever purchased, very disappointed.",negative
"This laptop is awful, nothing like what was advertised.",negative
"Just a regular game, I use it occasionally.",neutral
"This shoes matches the description, no complaints or praise.",neutral
"Terrible service, broke after just two days of use.",negative
"An average blender, neither good nor bad in my experience.",neutral
"Poor quality movie, feels cheap and flimsy.",negative
"Such an amazing app, I can't stop telling my friends about it.",positive
"Such an amazing camera, I can't stop telling my friends about it.",positive
"Best watch I've bought in years, highly recommend to everyone.",positive
